section,object,property,before,after,delta
stage,9__Main Tower,temperature_C,345.45881609425555,345.4506821642527,-0.008133930002827583
stage,9__Main Tower,liquid_kg_h,80996.71211700304,81019.2099305943,22.49781359125336
stage,9__Main Tower,vapor_kg_h,182591.90691952888,182605.01758257058,13.110663041705266
stage,8__Main Tower,pressure_kPa,175.8823529411767,175.8823529411767,0.0
stage,8__Main Tower,temperature_C,348.5426704937894,348.5352607008107,-0.007409792978705809
stage,8__Main Tower,liquid_kg_h,71654.80935072077,71676.41093833756,21.60158761679486
stage,8__Main Tower,vapor_kg_h,177823.82253484186,177837.08728595902,13.264751117152628
stage,7__Main Tower,pressure_kPa,176.47058823529434,176.47058823529434,0.0
stage,7__Main Tower,temperature_C,353.7991037765936,353.79310314021984,-0.006000636373755697
stage,7__Main Tower,liquid_kg_h,44043.01632661875,44058.199206892285,15.182880273532646
stage,7__Main Tower,vapor_kg_h,168481.91976855954,168494.2882937023,12.368525142752333
stage,6__Main Tower,pressure_kPa,177.058823529412,177.058823529412,0.0
stage,6__Main Tower,temperature_C,369.18178686145825,369.1804655610239,-0.001321300434369732
stage,6__Main Tower,liquid_kg_h,338846.2122044459,338857.16862068285,10.956416236935183
stage,6__Main Tower,vapor_kg_h,140870.12674445752,140876.07656225702,5.949817799497396
stage,5__Main Tower,pressure_kPa,177.64705882352965,177.64705882352965,0.0
stage,5__Main Tower,temperature_C,367.3007726399835,367.2990709070689,-0.0017017329146256088
stage,5__Main Tower,liquid_kg_h,328524.8578778017,328535.59820776706,10.740329965366982
stage,5__Main Tower,vapor_kg_h,40865.16733244285,40866.890686205756,1.7233537629072089
stage,4__Main Tower,pressure_kPa,178.2352941176473,178.2352941176473,0.0
stage,4__Main Tower,temperature_C,366.36525131115036,366.3635198838608,-0.001731427289541898
stage,4__Main Tower,liquid_kg_h,323637.9948024849,323648.6058534576,10.611050972656813
stage,4__Main Tower,vapor_kg_h,30543.813005798635,30545.32027328995,1.5072674913171795
stage,3__Main Tower,pressure_kPa,178.82352941176495,178.82352941176495,0.0
stage,3__Main Tower,temperature_C,365.58068428467163,365.5789670435677,-0.001717241103960987
stage,3__Main Tower,liquid_kg_h,319691.9516462538,319702.408305793,10.456659539195243
stage,3__Main Tower,vapor_kg_h,25656.949930481904,25658.327918980467,1.3779884985633544
stage,2__Main Tower,pressure_kPa,179.4117647058826,179.4117647058826,0.0
stage,2__Main Tower,temperature_C,364.47271574682077,364.47099713264345,-0.0017186141773208874
stage,2__Main Tower,liquid_kg_h,314422.58285999246,314432.7458453863,10.162985393835697
stage,2__Main Tower,vapor_kg_h,21710.906774250732,21712.130371315994,1.2235970652618562
stage,1__Main Tower,pressure_kPa,180.0,180.0,0.0
stage,1__Main Tower,temperature_C,361.3168064034196,361.3150347106092,-0.001771692810393688
stage,1__Main Tower,liquid_kg_h,300181.04487200297,300190.277934477,9.233062474057078
stage,1__Main Tower,vapor_kg_h,16441.537987989406,16442.467910909225,0.9299229198186367
stage,8__Kerosene SS,pressure_kPa,157.64705882352948,157.64705882352948,0.0
stage,8__Kerosene SS,temperature_C,184.53559527688418,184.53569506830866,9.97914244749154e-05
stage,8__Kerosene SS,liquid_kg_h,13293.180480544637,13289.502721237379,-3.677759307258384
stage,8__Kerosene SS,vapor_kg_h,1270.8560111172826,1270.5150727483651,-0.3409383689174774
stage,7__Kerosene SS,pressure_kPa,157.64705882352948,157.64705882352948,0.0
stage,7__Kerosene SS,temperature_C,188.28508098903626,188.28515987224853,7.888321226801054e-05
stage,7__Kerosene SS,liquid_kg_h,13699.170294538972,13695.379248786501,-3.7910457524703816
stage,7__Kerosene SS,vapor_kg_h,3670.222884012944,3669.2227567757473,-1.0001272371969208
stage,6__Kerosene SS,pressure_kPa,157.64705882352948,157.64705882352948,0.0
stage,6__Kerosene SS,temperature_C,188.92426360858292,188.924341141331,7.753274809374489e-05
stage,6__Kerosene SS,liquid_kg_h,13769.08519553492,13765.27480835294,-3.8103871819803317
stage,6__Kerosene SS,vapor_kg_h,4076.2126980072767,4075.0992843248655,-1.113413682411192
stage,5__Kerosene SS,pressure_kPa,157.64705882352948,157.64705882352948,0.0
stage,5__Kerosene SS,temperature_C,189.19681245175389,189.19689123756757,7.878581368458981e-05
stage,5__Kerosene SS,liquid_kg_h,13798.720202027313,13794.901367565253,-3.8188344620593853
stage,5__Kerosene SS,vapor_kg_h,4146.1275990032245,4144.994843891307,-1.132755111917504
stage,4__Kerosene SS,pressure_kPa,157.64705882352948,157.64705882352948,0.0
stage,4__Kerosene SS,temperature_C,189.48087038055507,189.4809515388684,8.115831332133894e-05
stage,4__Kerosene SS,liquid_kg_h,13829.261283264586,13825.43359188735,-3.827691377236988
stage,4__Kerosene SS,vapor_kg_h,4175.762605495615,4174.6214031036225,-1.1412023919929197
stage,3__Kerosene SS,pressure_kPa,157.64705882352948,157.64705882352948,0.0
stage,3__Kerosene SS,temperature_C,189.91560995236017,189.91569380722638,8.385486620454685e-05
stage,3__Kerosene SS,liquid_kg_h,13874.886848014898,13871.046109256617,-3.840738758281077
stage,3__Kerosene SS,vapor_kg_h,4206.303686732892,4205.153627425718,-1.1500593071741605
stage,2__Kerosene SS,pressure_kPa,157.64705882352948,157.64705882352948,0.0
stage,2__Kerosene SS,temperature_C,190.68831774746758,190.6883984971521,8.074968451410314e-05
stage,2__Kerosene SS,liquid_kg_h,13951.969611988176,13948.107362551345,-3.8622494368300977
stage,2__Kerosene SS,vapor_kg_h,4251.929251483201,4250.766144794984,-1.16310668821734
stage,1__Kerosene SS,pressure_kPa,157.64705882352948,157.64705882352948,0.0
stage,1__Kerosene SS,temperature_C,192.2505565634346,192.25059257044404,3.600700944161872e-05
stage,1__Kerosene SS,liquid_kg_h,14093.797551503003,14089.897046814292,-3.900504688710498
stage,1__Kerosene SS,vapor_kg_h,4329.012015456481,4327.827398089713,-1.1846173667681796
stage,Kerosene SS_Reb,pressure_kPa,157.64705882352948,157.64705882352948,0.0
stage,Kerosene SS_Reb,temperature_C,195.87051658401816,195.8702916750242,-0.00022490899397098474
stage,Kerosene SS_Reb,liquid_kg_h,9622.957596531694,9620.279964461632,-2.6776320700628276
stage,Kerosene SS_Reb,vapor_kg_h,4470.839954971307,4469.617082352659,-1.2228726186476706
stage,6__Diesel SS,pressure_kPa,165.29411764705895,165.29411764705895,0.0
stage,6__Diesel SS,temperature_C,213.50096199151363,213.50104710301184,8.511149820833452e-05
stage,6__Diesel SS,liquid_kg_h,28799.928035822504,28804.932874820424,5.00483899792016
stage,6__Diesel SS,vapor_kg_h,3926.40273396461,3926.4279056947644,0.025171730154397665
stage,5__Diesel SS,pressure_kPa,165.29411764705895,165.29411764705895,0.0
